number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_rnn_layers,state
120,0.14773444831371307,2025-05-15 14:29:34.100902,2025-05-15 14:31:29.212348,0 days 00:01:55.111446,16.0,0.3,160.0,0.001,1.0,COMPLETE
121,0.15183432400226593,2025-05-15 14:31:29.243199,2025-05-15 14:32:44.988446,0 days 00:01:15.745247,16.0,0.1,120.0,0.001,2.0,COMPLETE
122,0.14773444831371307,2025-05-15 14:32:45.017994,2025-05-15 14:34:35.237392,0 days 00:01:50.219398,16.0,0.5,160.0,0.001,1.0,COMPLETE
123,0.14773444831371307,2025-05-15 14:34:35.270254,2025-05-15 14:36:24.329016,0 days 00:01:49.058762,16.0,0.3,160.0,0.001,1.0,COMPLETE
124,0.14773444831371307,2025-05-15 14:36:24.367491,2025-05-15 14:38:12.865107,0 days 00:01:48.497616,16.0,0.5,160.0,0.001,1.0,COMPLETE
125,0.14773444831371307,2025-05-15 14:38:12.894064,2025-05-15 14:39:58.714853,0 days 00:01:45.820789,16.0,0.5,160.0,0.001,1.0,COMPLETE
126,0.14773444831371307,2025-05-15 14:39:58.746408,2025-05-15 14:41:46.803268,0 days 00:01:48.056860,16.0,0.5,160.0,0.001,1.0,COMPLETE
127,0.14773444831371307,2025-05-15 14:41:46.835291,2025-05-15 14:43:37.130154,0 days 00:01:50.294863,16.0,0.5,160.0,0.001,1.0,COMPLETE
128,0.14773444831371307,2025-05-15 14:43:37.166138,2025-05-15 14:45:37.441998,0 days 00:02:00.275860,16.0,0.1,160.0,0.001,1.0,COMPLETE
129,0.14866691827774048,2025-05-15 14:45:37.481339,2025-05-15 14:46:35.176637,0 days 00:00:57.695298,64.0,0.2,240.0,0.001,1.0,COMPLETE
130,0.15032783150672913,2025-05-15 14:46:35.211624,2025-05-15 14:48:02.576240,0 days 00:01:27.364616,16.0,0.4,80.0,0.001,1.0,COMPLETE
131,0.17600202560424805,2025-05-15 14:48:02.611996,2025-05-15 14:52:27.946672,0 days 00:04:25.334676,256.0,0.3,10.0,0.0001,1.0,COMPLETE
132,0.14773444831371307,2025-05-15 14:52:27.988327,2025-05-15 14:54:57.707882,0 days 00:02:29.719555,16.0,0.1,160.0,0.001,1.0,COMPLETE
133,0.14773444831371307,2025-05-15 14:54:57.740082,2025-05-15 14:57:24.343078,0 days 00:02:26.602996,16.0,0.5,160.0,0.001,1.0,COMPLETE
134,0.14773444831371307,2025-05-15 14:57:24.377934,2025-05-15 14:59:37.222314,0 days 00:02:12.844380,16.0,0.5,160.0,0.001,1.0,COMPLETE
135,0.14773444831371307,2025-05-15 14:59:37.260331,2025-05-15 15:01:53.370863,0 days 00:02:16.110532,16.0,0.5,160.0,0.001,1.0,COMPLETE
136,0.14773444831371307,2025-05-15 15:01:53.409873,2025-05-15 15:04:08.824180,0 days 00:02:15.414307,16.0,0.5,160.0,0.001,1.0,COMPLETE
137,0.14773444831371307,2025-05-15 15:04:08.862986,2025-05-15 15:06:21.025455,0 days 00:02:12.162469,16.0,0.5,160.0,0.001,1.0,COMPLETE
138,0.16202309727668762,2025-05-15 15:06:21.059550,2025-05-15 15:10:09.370583,0 days 00:03:48.311033,16.0,0.3,160.0,0.001,3.0,COMPLETE
139,0.149085134267807,2025-05-15 15:10:09.412014,2025-05-15 15:11:52.844178,0 days 00:01:43.432164,128.0,0.1,160.0,0.001,1.0,COMPLETE
140,0.15223988890647888,2025-05-15 15:11:52.880903,2025-05-15 15:14:06.228138,0 days 00:02:13.347235,16.0,0.3,160.0,0.01,1.0,COMPLETE
141,0.16771672666072845,2025-05-15 15:14:06.272537,2025-05-15 15:17:06.069043,0 days 00:02:59.796506,32.0,0.5,160.0,0.001,4.0,COMPLETE
142,0.1527329832315445,2025-05-15 15:17:06.111995,2025-05-15 15:19:37.450891,0 days 00:02:31.338896,16.0,0.1,160.0,0.001,2.0,COMPLETE
143,0.14861419796943665,2025-05-15 15:19:37.491211,2025-05-15 15:21:28.934330,0 days 00:01:51.443119,16.0,0.3,40.0,0.001,1.0,COMPLETE
144,0.14773444831371307,2025-05-15 15:21:28.972171,2025-05-15 15:24:27.592780,0 days 00:02:58.620609,16.0,0.3,160.0,0.001,1.0,COMPLETE
145,0.14773444831371307,2025-05-15 15:24:27.631597,2025-05-15 15:27:26.857417,0 days 00:02:59.225820,16.0,0.3,160.0,0.001,1.0,COMPLETE
146,0.14773444831371307,2025-05-15 15:27:26.898935,2025-05-15 15:30:21.257281,0 days 00:02:54.358346,16.0,0.3,160.0,0.001,1.0,COMPLETE
147,0.15081405639648438,2025-05-15 15:30:21.295050,2025-05-15 15:32:10.708424,0 days 00:01:49.413374,16.0,0.3,20.0,0.001,1.0,COMPLETE
